datetime,conditions
2023-09-01,Partially cloudy
2023-09-02,Partially cloudy
2023-09-03,"Rain, Partially cloudy"
2023-09-04,Partially cloudy
2023-09-05,"Rain, Partially cloudy"
2023-09-06,"Rain, Partially cloudy"
2023-09-07,Partially cloudy
2023-09-08,Partially cloudy
2023-09-09,Partially cloudy
2023-09-10,"Rain, Partially cloudy"
2023-09-11,Partially cloudy
2023-09-12,Partially cloudy
2023-09-13,Clear
2023-09-14,Clear
2023-09-15,Clear
2023-09-16,Partially cloudy
2023-09-17,Partially cloudy
2023-09-18,Partially cloudy
2023-09-19,Partially cloudy
2023-09-20,Partially cloudy
2023-09-21,Clear
2023-09-22,Clear
2023-09-23,Clear
2023-09-24,Clear
2023-09-25,Partially cloudy
2023-09-26,Partially cloudy
2023-09-27,Partially cloudy
2023-09-28,"Rain, Partially cloudy"
2023-09-29,"Rain, Partially cloudy"
2023-09-30,"Rain, Partially cloudy"
2023-10-01,"Rain, Partially cloudy"
2023-10-02,"Rain, Partially cloudy"
2023-10-03,"Rain, Partially cloudy"
2023-10-04,Rain
2023-10-05,Partially cloudy
2023-10-06,Partially cloudy
2023-10-07,Partially cloudy
2023-10-08,Clear
2023-10-09,Partially cloudy
2023-10-10,Partially cloudy
2023-10-11,"Rain, Partially cloudy"
2023-10-12,Partially cloudy
2023-10-13,Partially cloudy
2023-10-14,Partially cloudy
2023-10-15,Clear
2023-10-16,"Rain, Partially cloudy"
2023-10-17,"Rain, Partially cloudy"
2023-10-18,"Rain, Partially cloudy"
2023-10-19,"Rain, Partially cloudy"
2023-10-20,Clear
2023-10-21,Clear
2023-10-22,"Rain, Partially cloudy"
2023-10-23,Partially cloudy
2023-10-24,Clear
2023-10-25,Partially cloudy
2023-10-26,Partially cloudy
2023-10-27,"Rain, Partially cloudy"
2023-10-28,Partially cloudy
2023-10-29,Partially cloudy
2023-10-30,Partially cloudy
2023-10-31,Partially cloudy
2023-11-01,"Rain, Partially cloudy"
2023-11-02,"Rain, Partially cloudy"
2023-11-03,"Rain, Partially cloudy"
2023-11-04,Partially cloudy
2023-11-05,"Rain, Partially cloudy"
2023-11-06,Partially cloudy
2023-11-07,Partially cloudy
2023-11-08,Partially cloudy
2023-11-09,"Rain, Partially cloudy"
2023-11-10,"Rain, Partially cloudy"
2023-11-11,"Rain, Partially cloudy"
2023-11-12,"Rain, Partially cloudy"
2023-11-13,"Rain, Partially cloudy"
2023-11-14,Rain
2023-11-15,Partially cloudy
2023-11-16,"Rain, Partially cloudy"
2023-11-17,"Rain, Partially cloudy"
2023-11-18,"Rain, Partially cloudy"
2023-11-19,"Rain, Partially cloudy"
2023-11-20,Partially cloudy
2023-11-21,Partially cloudy
2023-11-22,"Rain, Partially cloudy"
2023-11-23,"Rain, Partially cloudy"
2023-11-24,"Rain, Partially cloudy"
2023-11-25,"Rain, Partially cloudy"
2023-11-26,"Rain, Partially cloudy"
2023-11-27,Partially cloudy
2023-11-28,"Rain, Partially cloudy"
2023-11-29,"Rain, Partially cloudy"
2023-11-30,"Rain, Partially cloudy"
2023-12-01,Partially cloudy
2023-12-02,Partially cloudy
2023-12-03,"Rain, Partially cloudy"
2023-12-04,"Rain, Partially cloudy"
2023-12-05,"Rain, Partially cloudy"
2023-12-06,"Rain, Partially cloudy"
2023-12-07,"Rain, Overcast"
2023-12-08,"Rain, Overcast"
2023-12-09,"Rain, Overcast"
2023-12-10,"Rain, Partially cloudy"
2023-12-11,"Rain, Partially cloudy"
2023-12-12,Partially cloudy
2023-12-13,Partially cloudy
2023-12-14,Partially cloudy
2023-12-15,Partially cloudy
2023-12-16,"Rain, Partially cloudy"
2023-12-17,"Rain, Partially cloudy"
2023-12-18,Clear
2023-12-19,Clear
2023-12-20,Clear
2023-12-21,"Rain, Partially cloudy"
2023-12-22,"Rain, Partially cloudy"
2023-12-23,"Rain, Partially cloudy"
2023-12-24,"Rain, Partially cloudy"
2023-12-25,Clear
2023-12-26,Clear
2023-12-27,Partially cloudy
2023-12-28,Clear
2023-12-29,Clear
2023-12-30,Partially cloudy
2023-12-31,Partially cloudy
